game_date,home_team,away_team,home_win,espn_pregame_home,espn_final_home,espn_wp_min,espn_wp_max,espn_lead_changes,espn_total_plays,espn_q1_end_wp,espn_q1_end_home_score,espn_q1_end_away_score,espn_q2_end_wp,espn_q2_end_home_score,espn_q2_end_away_score,espn_q3_end_wp,espn_q3_end_home_score,espn_q3_end_away_score,espn_q4_end_wp,model_home_prob,pm_pregame_home
2025-10-27,Houston Rockets,Brooklyn Nets,1,0.9,1.0,0.845,1.0,0.0,469.0,0.977,42.0,25.0,0.934,71.0,60.0,0.999,103.0,77.0,1.0,0.6628,
2025-10-27,New Orleans Pelicans,Boston Celtics,0,0.427,0.0,0.0,0.449,0.0,500.0,0.242,26.0,34.0,0.149,54.0,65.0,0.123,78.0,87.0,0.0,0.3663,
2025-10-27,San Antonio Spurs,Toronto Raptors,1,0.634,1.0,0.634,1.0,0.0,463.0,0.859,41.0,29.0,0.963,69.0,50.0,0.984,95.0,78.0,1.0,0.6584,
2025-10-27,Chicago Bulls,Atlanta Hawks,1,0.411,1.0,0.141,1.0,15.0,485.0,0.236,27.0,35.0,0.426,57.0,58.0,0.749,98.0,92.0,1.0,0.6117,
2025-10-27,Dallas Mavericks,Oklahoma City Thunder,0,0.23,0.0,0.0,0.336,0.0,478.0,0.208,24.0,28.0,0.19,42.0,48.0,0.009,69.0,87.0,0.0,0.3369,
2025-10-27,Utah Jazz,Phoenix Suns,1,0.599,1.0,0.264,1.0,14.0,614.0,0.694,5.0,0.0,0.628,64.0,61.0,0.641,88.0,86.0,0.5,0.6415,
2025-10-27,Minnesota Timberwolves,Denver Nuggets,0,0.429,0.0,0.0,0.79,8.0,499.0,0.33,30.0,34.0,0.737,64.0,55.0,0.148,94.0,102.0,0.0,0.3962,
2025-10-27,Golden State Warriors,Memphis Grizzlies,1,0.678,0.996,0.469,1.0,6.0,525.0,0.6,36.0,37.0,0.71,65.0,61.0,0.944,91.0,78.0,0.996,0.5677,
2025-10-27,Los Angeles Lakers,Portland Trail Blazers,0,0.42,0.015,0.0,0.54,24.0,518.0,0.337,24.0,28.0,0.27,51.0,57.0,0.06,77.0,89.0,0.015,0.534,
2025-10-28,Washington Wizards,Philadelphia 76ers,0,0.289,0.0,0.0,0.988,22.0,549.0,0.222,8.0,13.0,0.528,72.0,68.0,0.971,110.0,94.0,0.5,0.3751,
2025-10-28,Miami Heat,Charlotte Hornets,1,0.653,1.0,0.448,1.0,2.0,480.0,0.69,37.0,34.0,0.746,65.0,60.0,0.984,105.0,88.0,1.0,0.6322,
2025-10-28,Milwaukee Bucks,New York Knicks,1,0.465,0.562,0.072,1.0,23.0,464.0,0.511,27.0,26.0,0.119,50.0,64.0,0.562,90.0,88.0,0.404,0.6064,
2025-10-28,Oklahoma City Thunder,Sacramento Kings,1,0.791,0.753,0.114,1.0,38.0,464.0,0.597,24.0,29.0,0.495,49.0,55.0,0.429,80.0,83.0,0.753,0.6426,
2025-10-28,Golden State Warriors,LA Clippers,1,0.533,1.0,0.348,1.0,2.0,425.0,0.734,33.0,25.0,0.41,46.0,49.0,0.967,78.0,63.0,1.0,0.576,
2025-10-29,Toronto Raptors,Houston Rockets,0,0.363,0.0,0.0,0.569,6.0,477.0,0.191,30.0,39.0,0.222,63.0,70.0,0.027,91.0,106.0,0.0,0.3948,
2025-10-29,Boston Celtics,Cleveland Cavaliers,1,0.453,0.999,0.35,1.0,19.0,503.0,0.428,32.0,34.0,0.898,75.0,60.0,0.944,98.0,85.0,0.999,0.549,
2025-10-29,Detroit Pistons,Orlando Magic,1,0.523,1.0,0.217,1.0,6.0,546.0,0.328,29.0,36.0,0.551,65.0,64.0,0.885,101.0,92.0,1.0,0.6462,
2025-10-29,Brooklyn Nets,Atlanta Hawks,0,0.283,0.0,0.0,0.622,8.0,489.0,0.176,27.0,34.0,0.079,34.0,48.0,0.071,83.0,94.0,0.0,0.363,
2025-10-29,Chicago Bulls,Sacramento Kings,1,0.631,1.0,0.21,1.0,4.0,451.0,0.672,36.0,33.0,0.49,62.0,64.0,0.905,101.0,91.0,1.0,0.6348,
2025-10-29,Dallas Mavericks,Indiana Pacers,1,0.59,1.0,0.154,1.0,18.0,566.0,0.418,25.0,30.0,0.455,52.0,55.0,0.821,81.0,74.0,1.0,0.5094,
2025-10-29,Denver Nuggets,New Orleans Pelicans,1,0.817,0.831,0.799,1.0,0.0,466.0,0.831,7.0,5.0,0.829,53.0,47.0,0.999,92.0,58.0,0.999,0.7487,
2025-10-29,Utah Jazz,Portland Trail Blazers,0,0.431,0.0,0.0,0.779,26.0,570.0,0.779,43.0,31.0,0.266,73.0,79.0,0.038,84.0,101.0,0.0,0.578,
2025-10-29,Minnesota Timberwolves,Los Angeles Lakers,0,0.711,0.0,0.0,0.866,11.0,466.0,0.716,34.0,32.0,0.481,58.0,62.0,0.104,86.0,97.0,0.0,0.4314,
2025-10-29,Phoenix Suns,Memphis Grizzlies,0,0.429,0.486,0.0,0.706,34.0,491.0,0.412,26.0,27.0,0.6,53.0,49.0,0.486,57.0,57.0,0.0,0.3469,
2025-10-30,Charlotte Hornets,Orlando Magic,0,0.44,0.0,0.0,0.46,0.0,477.0,0.287,31.0,38.0,0.114,58.0,71.0,0.182,85.0,92.0,0.0,0.5784,
2025-10-30,Milwaukee Bucks,Golden State Warriors,1,0.356,1.0,0.238,1.0,21.0,482.0,0.642,34.0,25.0,0.494,60.0,58.0,0.544,83.0,79.0,1.0,0.5537,
2025-10-30,Oklahoma City Thunder,Washington Wizards,1,0.926,1.0,0.74,1.0,0.0,486.0,0.918,20.0,16.0,0.939,59.0,49.0,0.909,92.0,84.0,1.0,0.6775,
2025-10-30,San Antonio Spurs,Miami Heat,1,0.668,1.0,0.307,1.0,20.0,459.0,0.671,33.0,31.0,0.615,59.0,58.0,0.974,87.0,72.0,1.0,0.5405,
2025-10-31,Philadelphia 76ers,Boston Celtics,0,0.577,0.459,0.0,0.636,15.0,477.0,0.213,25.0,38.0,0.192,57.0,68.0,0.217,82.0,89.0,0.459,0.5319,
2025-10-31,Indiana Pacers,Atlanta Hawks,0,0.394,0.001,0.0,0.753,8.0,512.0,0.343,29.0,32.0,0.323,59.0,63.0,0.004,76.0,97.0,0.001,0.3618,
2025-10-31,Cleveland Cavaliers,Toronto Raptors,0,0.617,0.0,0.0,0.892,11.0,481.0,0.348,22.0,30.0,0.384,43.0,48.0,0.333,77.0,81.0,0.0,0.5482,
2025-10-31,Chicago Bulls,New York Knicks,1,0.352,1.0,0.194,1.0,3.0,501.0,0.627,35.0,27.0,0.938,72.0,53.0,0.802,98.0,91.0,1.0,0.6359,
2025-10-31,Memphis Grizzlies,Los Angeles Lakers,0,0.479,0.0,0.0,0.902,28.0,481.0,0.379,27.0,31.0,0.818,65.0,55.0,0.599,91.0,89.0,0.0,0.4375,
2025-10-31,Portland Trail Blazers,Denver Nuggets,1,0.356,1.0,0.075,1.0,11.0,511.0,0.194,18.0,26.0,0.297,53.0,57.0,0.091,71.0,81.0,1.0,0.4795,
2025-10-31,Phoenix Suns,Utah Jazz,1,0.562,1.0,0.547,1.0,0.0,505.0,0.939,37.0,17.0,0.904,54.0,40.0,0.978,83.0,67.0,1.0,0.5062,
2025-10-31,LA Clippers,New Orleans Pelicans,1,0.778,1.0,0.479,1.0,4.0,459.0,0.678,26.0,28.0,0.858,67.0,59.0,0.916,94.0,84.0,1.0,0.7045,
2025-11-01,Milwaukee Bucks,Sacramento Kings,0,0.684,0.0,0.0,0.915,3.0,485.0,0.865,47.0,36.0,0.624,71.0,70.0,0.261,102.0,108.0,0.0,0.6175,
2025-11-01,Charlotte Hornets,Minnesota Timberwolves,0,0.362,0.0,0.0,0.717,22.0,472.0,0.405,21.0,20.0,0.447,48.0,48.0,0.235,72.0,77.0,0.0,0.4492,
2025-11-01,Indiana Pacers,Golden State Warriors,1,0.291,1.0,0.031,1.0,13.0,499.0,0.239,28.0,32.0,0.235,53.0,58.0,0.189,82.0,88.0,1.0,0.3336,
2025-11-01,Washington Wizards,Orlando Magic,0,0.279,0.0,0.0,0.479,0.0,500.0,0.42,35.0,32.0,0.03,56.0,75.0,0.045,58.0,75.0,0.0,0.3,
2025-11-01,Boston Celtics,Houston Rockets,0,0.405,0.0,0.0,0.425,0.0,491.0,0.139,24.0,37.0,0.049,48.0,66.0,0.001,72.0,97.0,0.0,0.4197,
2025-11-01,Detroit Pistons,Dallas Mavericks,1,0.68,1.0,0.212,1.0,34.0,520.0,0.559,27.0,30.0,0.527,59.0,61.0,0.264,87.0,93.0,1.0,0.6306,
2025-11-02,Oklahoma City Thunder,New Orleans Pelicans,1,0.884,1.0,0.849,1.0,0.0,471.0,0.973,39.0,22.0,0.991,75.0,52.0,0.999,108.0,82.0,1.0,0.7643,
2025-11-02,Toronto Raptors,Memphis Grizzlies,1,0.613,1.0,0.547,1.0,0.0,490.0,0.674,26.0,23.0,0.751,53.0,47.0,0.908,82.0,71.0,1.0,0.5411,
2025-11-02,Cleveland Cavaliers,Atlanta Hawks,1,0.552,0.659,0.415,1.0,14.0,516.0,0.776,31.0,22.0,0.459,50.0,52.0,0.659,66.0,63.0,1.0,0.5625,
2025-11-02,Charlotte Hornets,Utah Jazz,1,0.557,1.0,0.451,1.0,2.0,501.0,0.869,39.0,25.0,0.98,71.0,48.0,0.988,104.0,86.0,1.0,0.6088,
2025-11-02,Brooklyn Nets,Philadelphia 76ers,0,0.41,0.0,0.0,0.568,4.0,489.0,0.355,37.0,40.0,0.048,55.0,73.0,0.064,78.0,90.0,0.0,0.3157,
2025-11-02,New York Knicks,Chicago Bulls,1,0.704,1.0,0.57,1.0,0.0,476.0,0.857,34.0,24.0,0.827,68.0,60.0,0.983,105.0,89.0,1.0,0.3793,
2025-11-02,Phoenix Suns,San Antonio Spurs,1,0.323,1.0,0.283,1.0,1.0,483.0,0.572,31.0,24.0,0.941,70.0,52.0,0.998,102.0,78.0,1.0,0.3655,
2025-11-02,Los Angeles Lakers,Miami Heat,1,0.605,0.919,0.602,1.0,0.0,496.0,0.784,38.0,30.0,0.919,68.0,53.0,0.711,102.0,98.0,1.0,0.4747,
2025-11-03,Indiana Pacers,Milwaukee Bucks,0,0.371,0.0,0.0,0.565,8.0,523.0,0.185,22.0,31.0,0.333,53.0,56.0,0.169,77.0,84.0,0.0,0.3156,
2025-11-03,Brooklyn Nets,Minnesota Timberwolves,0,0.246,0.0,0.0,0.485,0.0,519.0,0.308,28.0,28.0,0.252,59.0,63.0,0.275,88.0,91.0,0.0,0.2917,
2025-11-03,New York Knicks,Washington Wizards,1,0.915,1.0,0.658,1.0,0.0,475.0,0.702,22.0,30.0,0.834,57.0,54.0,0.996,98.0,78.0,1.0,0.6943,
2025-11-03,Boston Celtics,Utah Jazz,0,0.825,0.0,0.0,0.949,17.0,518.0,0.839,25.0,21.0,0.786,27.0,25.0,0.496,72.0,74.0,0.0,0.554,
2025-11-03,Memphis Grizzlies,Detroit Pistons,0,0.421,0.0,0.0,0.453,0.0,502.0,0.264,25.0,32.0,0.168,48.0,58.0,0.123,74.0,83.0,0.0,0.3841,
2025-11-03,Houston Rockets,Dallas Mavericks,1,0.848,1.0,0.461,1.0,4.0,529.0,0.702,24.0,28.0,0.822,33.0,30.0,0.739,81.0,78.0,1.0,0.7115,
2025-11-03,Denver Nuggets,Sacramento Kings,1,0.828,1.0,0.757,1.0,0.0,469.0,0.901,39.0,30.0,0.888,72.0,63.0,0.94,104.0,93.0,1.0,0.6672,
2025-11-03,Portland Trail Blazers,Los Angeles Lakers,0,0.754,0.0,0.0,0.922,7.0,468.0,0.873,33.0,24.0,0.672,53.0,52.0,0.382,86.0,90.0,0.0,0.4558,
2025-11-03,LA Clippers,Miami Heat,0,0.648,0.0,0.0,0.883,29.0,450.0,0.566,30.0,32.0,0.734,71.0,66.0,0.182,95.0,103.0,0.0,0.4245,
2025-11-04,Toronto Raptors,Milwaukee Bucks,1,0.504,1.0,0.432,1.0,10.0,491.0,0.759,39.0,29.0,0.952,73.0,54.0,0.998,105.0,80.0,1.0,0.4779,
2025-11-04,New Orleans Pelicans,Charlotte Hornets,1,0.466,1.0,0.065,1.0,17.0,487.0,0.571,33.0,30.0,0.56,61.0,59.0,0.223,87.0,93.0,1.0,0.2904,
2025-11-04,Chicago Bulls,Philadelphia 76ers,1,0.422,1.0,0.01,1.0,1.0,499.0,0.081,27.0,45.0,0.041,56.0,75.0,0.084,84.0,95.0,1.0,0.5274,
2025-11-04,Atlanta Hawks,Orlando Magic,1,0.493,1.0,0.445,1.0,9.0,514.0,0.744,32.0,23.0,0.734,32.0,23.0,0.995,98.0,77.0,1.0,0.5589,
2025-11-04,Golden State Warriors,Phoenix Suns,1,0.754,1.0,0.659,1.0,0.0,467.0,0.929,33.0,19.0,0.973,68.0,49.0,0.898,92.0,83.0,1.0,0.6209,
2025-11-04,LA Clippers,Oklahoma City Thunder,0,0.34,0.0,0.0,0.756,22.0,463.0,0.667,33.0,23.0,0.457,57.0,56.0,0.149,86.0,94.0,0.0,0.4036,
2025-11-05,Detroit Pistons,Utah Jazz,1,0.822,1.0,0.361,1.0,6.0,511.0,0.709,28.0,30.0,0.611,53.0,55.0,0.906,78.0,69.0,1.0,0.645,
2025-11-05,Cleveland Cavaliers,Philadelphia 76ers,1,0.811,1.0,0.674,1.0,0.0,506.0,0.94,41.0,27.0,0.753,70.0,67.0,0.995,107.0,87.0,1.0,0.5299,
2025-11-05,Indiana Pacers,Brooklyn Nets,0,0.702,0.0,0.0,0.823,19.0,521.0,0.523,18.0,23.0,0.757,59.0,54.0,0.696,83.0,80.0,0.0,0.4658,
2025-11-05,New York Knicks,Minnesota Timberwolves,1,0.596,1.0,0.306,1.0,24.0,466.0,0.617,28.0,26.0,0.408,54.0,58.0,0.852,94.0,86.0,1.0,0.6003,
2025-11-05,Boston Celtics,Washington Wizards,1,0.865,1.0,0.513,1.0,0.0,465.0,0.53,26.0,37.0,0.917,70.0,60.0,0.998,102.0,80.0,1.0,0.7042,
2025-11-05,Memphis Grizzlies,Houston Rockets,0,0.327,0.0,0.0,0.379,0.0,526.0,0.12,22.0,34.0,0.172,32.0,41.0,0.03,80.0,94.0,0.0,0.3317,
2025-11-05,Dallas Mavericks,New Orleans Pelicans,0,0.693,0.0,0.0,0.735,45.0,482.0,0.358,19.0,29.0,0.494,49.0,52.0,0.477,77.0,78.0,0.0,0.463,
2025-11-05,Denver Nuggets,Miami Heat,1,0.68,1.0,0.491,1.0,2.0,482.0,0.722,36.0,33.0,0.824,68.0,60.0,0.974,101.0,86.0,1.0,0.619,
2025-11-05,Los Angeles Lakers,San Antonio Spurs,1,0.496,1.0,0.066,1.0,33.0,531.0,0.416,26.0,29.0,0.537,60.0,59.0,0.159,88.0,96.0,1.0,0.4125,
2025-11-05,Sacramento Kings,Golden State Warriors,1,0.539,1.0,0.189,1.0,20.0,515.0,0.339,25.0,32.0,0.313,50.0,57.0,0.817,92.0,85.0,1.0,0.4123,
2025-11-05,Portland Trail Blazers,Oklahoma City Thunder,1,0.301,1.0,0.032,1.0,5.0,544.0,0.037,19.0,40.0,0.208,57.0,63.0,0.229,81.0,86.0,1.0,0.413,
2025-11-06,Phoenix Suns,LA Clippers,1,0.65,1.0,0.329,1.0,8.0,480.0,0.596,26.0,27.0,0.47,48.0,51.0,0.964,88.0,74.0,1.0,0.5567,
2025-11-07,Washington Wizards,Cleveland Cavaliers,0,0.139,0.0,0.0,0.204,0.0,529.0,0.055,24.0,37.0,0.028,59.0,76.0,0.001,86.0,109.0,0.0,0.2872,
2025-11-07,Orlando Magic,Boston Celtics,1,0.612,1.0,0.438,1.0,10.0,489.0,0.867,38.0,25.0,0.695,43.0,38.0,0.718,81.0,76.0,1.0,0.5092,
2025-11-07,San Antonio Spurs,Houston Rockets,1,0.416,1.0,0.128,1.0,9.0,490.0,0.376,23.0,25.0,0.487,51.0,50.0,0.67,86.0,82.0,1.0,0.5264,
2025-11-07,San Antonio Spurs,Houston Rockets,1,0.416,1.0,0.128,1.0,9.0,490.0,0.376,23.0,25.0,0.487,51.0,50.0,0.67,86.0,82.0,1.0,0.5264,
2025-11-07,Brooklyn Nets,Detroit Pistons,0,0.268,0.0,0.0,0.565,10.0,476.0,0.378,29.0,27.0,0.236,55.0,60.0,0.005,74.0,94.0,0.0,0.2988,
2025-11-07,Atlanta Hawks,Toronto Raptors,0,0.622,0.0,0.0,0.898,3.0,507.0,0.597,26.0,26.0,0.827,53.0,44.0,0.733,77.0,73.0,0.0,0.4426,
2025-11-07,Minnesota Timberwolves,Utah Jazz,1,0.797,0.999,0.797,1.0,0.0,512.0,0.992,43.0,15.0,0.998,79.0,45.0,0.999,104.0,67.0,0.999,0.6698,
2025-11-07,Memphis Grizzlies,Dallas Mavericks,1,0.611,1.0,0.58,1.0,0.0,492.0,0.822,34.0,24.0,0.982,74.0,51.0,0.997,102.0,80.0,1.0,0.5999,
2025-11-07,Milwaukee Bucks,Chicago Bulls,1,0.628,0.779,0.395,1.0,22.0,481.0,0.548,23.0,25.0,0.602,53.0,52.0,0.752,85.0,80.0,0.779,0.5182,
2025-11-07,Miami Heat,Charlotte Hornets,1,0.769,1.0,0.597,1.0,0.0,492.0,0.967,53.0,33.0,0.729,72.0,69.0,0.819,94.0,88.0,1.0,0.6471,
2025-11-07,Sacramento Kings,Oklahoma City Thunder,0,0.22,0.0,0.0,0.371,0.0,478.0,0.335,32.0,30.0,0.214,32.0,36.0,0.024,83.0,98.0,0.0,0.342,
2025-11-07,Denver Nuggets,Golden State Warriors,1,0.707,1.0,0.63,1.0,0.0,440.0,0.88,32.0,21.0,0.956,66.0,49.0,0.997,99.0,77.0,1.0,0.6735,
2025-11-07,Denver Nuggets,Golden State Warriors,1,0.707,1.0,0.63,1.0,0.0,440.0,0.88,32.0,21.0,0.956,66.0,49.0,0.997,99.0,77.0,1.0,0.6735,
2025-11-08,Washington Wizards,Dallas Mavericks,0,0.373,0.0,0.0,0.86,20.0,517.0,0.151,24.0,35.0,0.191,38.0,46.0,0.652,86.0,82.0,0.0,0.3361,
2025-11-08,Philadelphia 76ers,Toronto Raptors,1,0.657,1.0,0.226,1.0,12.0,517.0,0.51,31.0,35.0,0.738,68.0,63.0,0.726,101.0,97.0,1.0,0.5715,
2025-11-08,San Antonio Spurs,New Orleans Pelicans,1,0.801,1.0,0.727,1.0,0.0,457.0,0.846,28.0,22.0,0.771,37.0,34.0,0.908,87.0,78.0,1.0,0.7513,
