Date,Home,Away,season,ML_Home,ML_Away,Win_Margin,market_home,market_away,model_home_prob,model_away_prob,edge_home,edge_away,home_won,bet_side,bet_edge,model_prob,entry_price,bet_won,opp_won,is_favorite,home_q1_pts,away_q1_pts,q1_diff_home,q1_diff_bet,est_q1_bet_price,est_q1_opp_price
2012-11-07,Milwaukee Bucks,Memphis Grizzlies,2012-13,-113,102,-18,0.5305164319248826,0.49504950495049505,0.6411,0.3589,0.11058356807511738,-0.13614950495049505,0,home,0.11058356807511738,0.6411,0.5305164319248826,False,True,True,22.0,23.0,-1.0,-1.0,0.5129032863849765,0.4870967136150235
2012-11-07,LA Clippers,San Antonio Spurs,2012-13,-102,-108,22,0.504950495049505,0.5192307692307693,,,,,1,none,0.0,0.0,0.0,,,False,22.0,16.0,6.0,,,
2012-11-07,New Orleans Pelicans,Philadelphia 76ers,2012-13,106,-117,-15,0.4854368932038835,0.5391705069124424,,,,,0,none,0.0,0.0,0.0,,,False,19.0,16.0,3.0,,,
2012-11-07,Minnesota Timberwolves,Orlando Magic,2012-13,-250,210,15,0.7142857142857143,0.3225806451612903,0.5126,0.4874,-0.20168571428571436,0.1648193548387097,1,away,0.1648193548387097,0.4874,0.3225806451612903,False,True,False,25.0,12.0,13.0,-13.0,0.20109999999999997,0.7989
2012-11-07,Atlanta Hawks,Indiana Pacers,2012-13,-175,155,3,0.6363636363636364,0.39215686274509803,0.5815,0.4185,-0.05486363636363634,0.02634313725490195,1,none,0.0,0.0,0.0,,,False,22.0,25.0,-3.0,,,
2012-11-07,Miami Heat,Brooklyn Nets,2012-13,-650,475,30,0.8666666666666667,0.17391304347826086,0.6561,0.3439,-0.21056666666666668,0.16998695652173912,1,none,0.0,0.0,0.0,,,False,26.0,22.0,4.0,,,
2012-11-07,Boston Celtics,Washington Wizards,2012-13,-610,455,6,0.8591549295774648,0.18018018018018017,0.5186,0.4814,-0.3405549295774648,0.3012198198198198,1,none,0.0,0.0,0.0,,,False,21.0,16.0,5.0,,,
2012-11-07,Charlotte Hornets,Phoenix Suns,2012-13,130,-150,-7,0.43478260869565216,0.6,,,,,0,none,0.0,0.0,0.0,,,False,22.0,31.0,-9.0,,,
2012-11-07,Houston Rockets,Denver Nuggets,2012-13,-145,125,-6,0.5918367346938775,0.4444444444444444,0.6645,0.3355,0.07266326530612244,-0.1089444444444444,0,home,0.07266326530612244,0.6645,0.5918367346938775,False,True,True,18.0,25.0,-7.0,-7.0,0.5132816326530613,0.48671836734693874
2012-11-08,Chicago Bulls,Oklahoma City Thunder,2012-13,125,-145,-6,0.4444444444444444,0.5918367346938775,0.5233,0.4767,0.07885555555555557,-0.11513673469387753,0,home,0.07885555555555557,0.5233,0.4444444444444444,False,True,False,24.0,24.0,0.0,0.0,0.4411222222222222,0.5588777777777778
2012-11-08,Portland Trail Blazers,LA Clippers,2012-13,-110,100,-13,0.5238095238095238,0.5,,,,,0,none,0.0,0.0,0.0,,,False,22.0,29.0,-7.0,,,
2012-11-09,Los Angeles Lakers,Golden State Warriors,2012-13,-330,270,24,0.7674418604651163,0.2702702702702703,0.4178,0.5822,-0.3496418604651163,0.31192972972972977,1,none,0.0,0.0,0.0,,,False,23.0,22.0,1.0,,,
2012-11-09,Denver Nuggets,Utah Jazz,2012-13,-240,200,20,0.7058823529411765,0.3333333333333333,0.4971,0.5029,-0.20878235294117653,0.1695666666666667,1,away,0.1695666666666667,0.5029,0.3333333333333333,False,True,False,26.0,27.0,-1.0,1.0,0.3456666666666666,0.6543333333333334
2012-11-09,Sacramento Kings,San Antonio Spurs,2012-13,200,-240,-11,0.3333333333333333,0.7058823529411765,0.3503,0.6497,0.016966666666666685,-0.05618235294117646,0,none,0.0,0.0,0.0,,,False,27.0,24.0,3.0,,,
2012-11-09,Phoenix Suns,Cleveland Cavaliers,2012-13,-150,130,2,0.6,0.43478260869565216,0.502,0.498,-0.09799999999999998,0.06321739130434784,1,none,0.0,0.0,0.0,,,False,16.0,37.0,-21.0,,,
2012-11-09,Minnesota Timberwolves,Indiana Pacers,2012-13,-130,110,2,0.5652173913043478,0.47619047619047616,0.6417,0.3583,0.07648260869565227,-0.11789047619047616,1,home,0.07648260869565227,0.6417,0.5652173913043478,True,False,True,21.0,19.0,2.0,2.0,0.5745130434782608,0.4254869565217392
2012-11-09,Atlanta Hawks,Miami Heat,2012-13,165,-190,-6,0.37735849056603776,0.6551724137931034,0.3573,0.6427,-0.020058490566037757,-0.012472413793103376,0,none,0.0,0.0,0.0,,,False,25.0,25.0,0.0,,,
2012-11-09,New Orleans Pelicans,Charlotte Hornets,2012-13,-290,245,8,0.7435897435897436,0.2898550724637681,,,,,1,none,0.0,0.0,0.0,,,False,24.0,21.0,3.0,,,
2012-11-09,Memphis Grizzlies,Houston Rockets,2012-13,-300,250,8,0.75,0.2857142857142857,0.6255,0.3745,-0.12450000000000006,0.0887857142857143,1,none,0.0,0.0,0.0,,,False,17.0,24.0,-7.0,,,
2012-11-09,New York Knicks,Dallas Mavericks,2012-13,-260,220,10,0.7222222222222222,0.3125,0.5682,0.4318,-0.15402222222222217,0.11930000000000002,1,away,0.11930000000000002,0.4318,0.3125,False,True,False,25.0,23.0,2.0,-2.0,0.29716875,0.70283125
2012-11-09,Boston Celtics,Philadelphia 76ers,2012-13,-230,190,-6,0.696969696969697,0.3448275862068966,0.5419,0.4581,-0.15506969696969697,0.11327241379310343,0,away,0.11327241379310343,0.4581,0.3448275862068966,True,False,False,20.0,23.0,-3.0,3.0,0.3757344827586207,0.6242655172413794
2012-11-09,Orlando Magic,Brooklyn Nets,2012-13,135,-155,-39,0.425531914893617,0.6078431372549019,0.5781,0.4219,0.15256808510638292,-0.1859431372549019,0,home,0.15256808510638292,0.5781,0.425531914893617,False,True,False,17.0,19.0,-2.0,-2.0,0.4040404255319149,0.5959595744680851
2012-11-09,Washington Wizards,Milwaukee Bucks,2012-13,140,-160,-10,0.4166666666666667,0.6153846153846154,0.3592,0.6408,-0.057466666666666666,0.025415384615384617,0,none,0.0,0.0,0.0,,,False,28.0,30.0,-2.0,,,
2012-11-09,Oklahoma City Thunder,Detroit Pistons,2012-13,-850,625,11,0.8947368421052632,0.13793103448275862,0.7405,0.2595,-0.15423684210526312,0.12156896551724139,1,none,0.0,0.0,0.0,,,False,18.0,19.0,-1.0,,,
2012-11-10,Utah Jazz,Phoenix Suns,2012-13,-425,340,13,0.8095238095238095,0.22727272727272727,0.5321,0.4679,-0.2774238095238095,0.24062727272727272,1,none,0.0,0.0,0.0,,,False,29.0,19.0,10.0,,,
2012-11-10,Milwaukee Bucks,Boston Celtics,2012-13,-105,-115,-4,0.5121951219512195,0.5348837209302325,0.6036,0.3964,0.0914048780487805,-0.13848372093023253,0,home,0.0914048780487805,0.6036,0.5121951219512195,False,True,True,22.0,20.0,2.0,2.0,0.5243804878048781,0.4756195121951219
2012-11-10,Golden State Warriors,Denver Nuggets,2012-13,115,-135,-6,0.46511627906976744,0.574468085106383,0.5022,0.4978,0.037083720930232544,-0.07666808510638301,0,none,0.0,0.0,0.0,,,False,13.0,24.0,-11.0,,,
2012-11-10,Chicago Bulls,Minnesota Timberwolves,2012-13,-360,300,7,0.782608695652174,0.25,0.5357,0.4643,-0.246908695652174,0.2143,1,none,0.0,0.0,0.0,,,False,20.0,19.0,1.0,,,
2012-11-10,Toronto Raptors,Philadelphia 76ers,2012-13,-140,120,-10,0.5833333333333334,0.45454545454545453,0.4256,0.5744,-0.1577333333333334,0.11985454545454549,0,away,0.11985454545454549,0.5744,0.45454545454545453,True,False,False,26.0,20.0,6.0,-6.0,0.39307272727272724,0.6069272727272728
2012-11-10,Houston Rockets,Detroit Pistons,2012-13,-310,260,14,0.7560975609756098,0.2777777777777778,0.6524,0.3476,-0.10369756097560978,0.06982222222222223,1,none,0.0,0.0,0.0,,,False,20.0,15.0,5.0,,,
